,Race,Area ID,Perceived: AGE,Basis for Stop,Stop_Year,Action Taken: None,Stop Time,Result of Stop: No Action,Result of Stop: Warning,Result of Stop: Citation for infraction,Result of Stop: In-field cite and release,Result of Stop: Custodial Arrest Pursuant to Outstanding Warrant,Result of Stop: Custodial Arrest Without Warrant,Result of Stop: Noncriminal Transport or Caretaking Transport,Result of Stop: Psychiatric Hold,Result of Stop: Referred to U.S. Department of Homeland Security
0,3,12,25,,2018,0,19:28,0,0,0,0,0,0,0,0,0
1,3,01,48,Witness or victim identification of suspect at the scene,2018,0,12:45,1,0,0,0,0,0,0,0,0
2,3,13,35,,2018,1,12:14,0,1,0,0,0,0,0,0,0
3,3,03,40,,2018,1,14:15,0,0,1,0,0,0,0,0,0
4,3,20,24,,2018,1,20:09,0,0,1,0,0,0,0,0,0
5,3,13,25,,2018,1,19:16,0,1,0,0,0,0,0,0,0
6,3,03,25,,2018,1,00:59,0,1,0,0,0,0,0,0,0
7,3,16,25,Officer witnessed commission of a crime,2018,0,23:59,0,0,0,0,0,1,0,0,0
8,3,03,24,,2018,1,08:20,0,0,1,0,0,0,0,0,0
9,7,10,48,,2018,0,12:58,0,0,0,0,0,1,0,0,0
10,3,20,24,,2018,1,13:54,0,0,1,0,0,0,0,0,0
11,3,13,21,,2018,0,20:07,0,0,0,0,0,0,0,0,0
12,2,13,28,,2018,1,14:40,0,1,0,0,0,0,0,0,0
13,3,15,25,,2018,1,08:40,0,0,1,0,0,0,0,0,0
14,2,08,32,,2018,1,13:00,0,1,0,0,0,0,0,0,0
15,3,06,25,,2018,1,09:25,0,0,1,0,0,0,0,0,0
16,3,12,28,,2018,1,18:39,1,0,0,0,0,0,0,0,0
17,3,20,58,,2018,1,15:55,0,0,1,0,0,0,0,0,0
18,1,01,18,,2018,0,13:29,0,0,1,0,0,0,0,0,0
19,3,04,25,,2018,0,23:10,1,0,0,0,0,0,0,0,0
20,2,03,52,,2018,1,16:25,0,1,0,0,0,0,0,0,0
21,3,16,28,,2018,1,10:03,0,1,0,0,0,0,0,0,0
22,3,11,15,,2018,0,20:03,0,0,0,0,0,1,0,0,0
23,7,07,28,Matched suspect description,2018,0,09:33,0,1,0,0,0,0,0,0,0
24,7,03,22,,2018,1,08:45,0,0,1,0,0,0,0,0,0
25,3,18,32,Witness or victim identification of suspect at the scene,2018,0,03:10,0,0,0,0,0,1,0,0,0
26,3,11,26,Matched suspect description,2018,0,17:22,0,0,0,0,0,0,0,0,0
27,3,13,30,,2018,0,10:59,0,1,0,0,0,0,0,0,0
28,2,16,36,,2018,1,11:17,0,1,0,0,0,0,0,0,0
29,3,02,18,Officer witnessed commission of a crime,2018,0,13:57,0,0,0,0,0,1,0,0,0
30,7,12,59,,2018,1,13:30,0,0,1,0,0,0,0,0,0
31,7,17,40,,2018,1,00:33,0,1,0,0,0,0,0,0,0
32,3,09,25,,2018,1,11:52,0,0,1,0,0,0,0,0,0
33,2,03,30,,2018,0,19:57,0,0,0,0,1,0,0,0,0
34,3,12,25,,2018,1,11:40,0,0,1,0,0,0,0,0,0
